iter	RMSE
225	2.645108394
226	2.644433316
227	2.643608925
228	2.643089505
229	2.642468591
230	2.641917421
231	2.641368582
232	2.640793447
233	2.640149549
234	2.639446424
235	2.6387257
236	2.638348218
237	2.637828034
238	2.637078988
239	2.636531933
240	2.636054454
241	2.63554397
242	2.634925439
243	2.634399294
244	2.633818196
245	2.633171082
246	2.632546288
247	2.63199641
248	2.631573028
249	2.631066542
250	2.630524808
251	2.629951754
252	2.629317618
253	2.628541971
254	2.62805461
255	2.627603318
256	2.626929802
257	2.626557167
258	2.62611258
259	2.625640056
260	2.625137199
261	2.62462971
262	2.62422265
263	2.62379432
264	2.623270136
265	2.622546277
266	2.622092088
267	2.621384579
268	2.620566223
269	2.620187536
270	2.619737168
271	2.619268644
272	2.618858521
273	2.618378747
274	2.618011072
275	2.617526792
276	2.617061173
277	2.616606854
278	2.61612766
279	2.615680792
280	2.615164248
281	2.614597636
282	2.614121193
283	2.613667695
284	2.613256645
285	2.612820626
286	2.612160226
287	2.611818844
288	2.611363193
289	2.610933732
290	2.610410091
291	2.610064652
292	2.609732306
293	2.609349701
294	2.60886984
295	2.608549684
296	2.607950335
297	2.607582908
298	2.607057277
299	2.606560391
300	2.606290697
301	2.605683823
302	2.605320398
303	2.604875719
304	2.60454511
305	2.603810529
306	2.603409418
307	2.603001746
308	2.602665257
309	2.602246854
310	2.601528823
311	2.601145477
312	2.600687927
313	2.60038498
314	2.599912544
315	2.599603311
316	2.599033981
317	2.598638461
318	2.597996702
319	2.597537755
320	2.59717258
321	2.59687966
322	2.596628704
323	2.596272792
324	2.59590648
325	2.595369815
326	2.594956636
327	2.594756375
328	2.594101787
329	2.593776323
330	2.593452932
331	2.593107599
332	2.592729097
333	2.592339798
334	2.591850437
335	2.591564419
336	2.591331005
337	2.590915978
338	2.590519609
339	2.590044929
340	2.58975149
341	2.589420885
342	2.588983512
343	2.58860964
344	2.588325166
345	2.58785449
346	2.587473628
347	2.587305942
348	2.586821831
349	2.58640115
350	2.585813873
351	2.585382375
352	2.585134642
353	2.584900631
354	2.584578348
355	2.584223396
356	2.583910567
357	2.583496885
358	2.583196669
359	2.582836174
360	2.58225756
361	2.581828061
362	2.581581396
363	2.581359941
364	2.581048191
365	2.58080897
366	2.580592906
367	2.580194993
368	2.579957465
369	2.579725794
370	2.579549618
371	2.579181485
372	2.578795143
373	2.578567807
374	2.5780174
375	2.57758188
376	2.577145168
377	2.576906436
378	2.576643976
379	2.576399277
380	2.576052094
381	2.575940062
382	2.575598773
383	2.575417196
384	2.575189196
385	2.57476568
386	2.57431407
387	2.57399636
388	2.573395388
389	2.573122768
390	2.572706513
391	2.572461592
392	2.572108339
393	2.571506726
394	2.571128199
395	2.570675384
396	2.570271755
397	2.570028834
398	2.569764152
399	2.569415437
400	2.56919514
401	2.56902847
402	2.568563393
403	2.568358764
404	2.568088403
405	2.567843857
406	2.567398826
407	2.567090031
408	2.566942788
409	2.566549994
410	2.566246741
411	2.56595267
412	2.565667851
413	2.565225333
414	2.564748236
415	2.564457614
416	2.564183721
417	2.563989684
418	2.56378747
419	2.563621131
420	2.563096546
421	2.562923506
422	2.562832356
423	2.562296052
424	2.561990157
425	2.561794755
426	2.561557351
427	2.561321876
428	2.560909788
429	2.560479444
430	2.559986892
431	2.559793092
432	2.559645494
433	2.559323341
434	2.558920507
435	2.558677141
436	2.558354219
437	2.558042389
438	2.557877316
439	2.557645934
440	2.55741003
441	2.556819239
442	2.556410339
443	2.555997157
444	2.555637984
445	2.555297293
446	2.554919224
447	2.554725608
448	2.554397769
449	2.554254061
450	2.553958555
451	2.553594474
452	2.553275952
453	2.553029577
454	2.552511452
455	2.552229377
456	2.551851729
457	2.551540813
458	2.551428294
459	2.55113326
460	2.550871858
461	2.550681843
462	2.550486598
463	2.55035933
464	2.550139389
465	2.549925727
466	2.549589403
467	2.549486671
468	2.54930868
469	2.549106416
470	2.548943123
471	2.548800065
472	2.548493074
473	2.548239368
474	2.548022802
475	2.547897161
476	2.547563925
477	2.54712704
478	2.546959636
479	2.546556911
480	2.546271415
481	2.546165284
482	2.54583198
483	2.545250306
484	2.544991892
485	2.544584817
486	2.544305604
487	2.544171376
488	2.543825931
489	2.543627052
490	2.54341907
491	2.543160627
492	2.542728872
493	2.542624467
494	2.542466965
495	2.54217956
496	2.541893653
497	2.541576303
498	2.541241268
499	2.540984919
