eps,min_samples,Clusters,Noise_Count,Noise_%,Silhouette_Score,Davies_Bouldin_Score,Calinski_Harabasz_Score
2.0,5,7,342,12.311015118790497,0.11670190307737065,1.2278335414567816,241.7895772448384
2.0,10,8,416,14.974802015838733,0.1530041687180278,1.2452561120883119,215.12148252929921
1.8,5,11,463,16.666666666666664,0.15791308825458983,1.246900007245479,277.8193351110077
2.0,15,5,516,18.57451403887689,0.20018932734291855,1.2973184789556718,359.7219887533562
2.0,20,4,623,22.42620590352772,0.3668928407373143,1.1806724264685473,457.6550480837011
1.8,10,7,637,22.93016558675306,0.20747327580431615,1.3257880702784146,461.8652788349095
1.6,5,14,657,23.65010799136069,0.16616534987185885,1.2069403904355898,301.8726332052253
1.8,15,6,726,26.13390928725702,0.22933484498282625,1.2664957799633223,539.3607220313168
1.8,20,5,813,29.265658747300215,0.28923381988453994,1.2775187073473693,673.5619939060681
1.6,10,8,843,30.345572354211665,0.23953464032812405,1.344215683701473,535.2199451246141
1.4,5,16,917,33.0093592512599,0.1356561651352423,1.0827657405515467,264.79638391505506
1.6,15,6,965,34.73722102231822,0.26426075320592674,1.4124850528313146,736.249378250902
1.6,20,6,1068,38.44492440604751,0.27441586188297157,1.3550000023956075,746.6780763866429
1.4,10,9,1157,41.648668106551476,0.2284956437689708,1.2113067278691565,479.5428933926413
1.2,5,20,1280,46.07631389488841,0.03758302214125894,1.1207033399112938,207.4069724255055
1.4,15,6,1421,51.151907847372215,0.31192295169636625,1.2691503058127664,825.6651387071896
1.4,20,8,1622,58.3873290136789,0.2823819096910511,1.2107171896407452,653.3201109668155
1.2,10,11,1782,64.14686825053995,0.2601548335987176,1.0683029945782727,479.4211530244276
1.0,5,28,1924,69.25845932325414,0.21567732058184283,0.9776524765176833,206.45146882755748
1.2,15,6,2035,73.2541396688265,0.39778363080368023,1.032051791397538,900.09356699517
1.2,20,6,2169,78.07775377969762,0.42600041327286065,0.9737113859792598,902.7682135112957
1.0,10,9,2314,83.29733621310295,0.4081756651115222,1.1047773246157906,568.8207567308842
0.8,5,13,2456,88.40892728581713,0.3652188267805335,0.820802862661529,248.5818522245017
1.0,15,6,2481,89.30885529157668,0.5295474135953004,0.7654045992737051,714.9227316106577
1.0,20,3,2633,94.78041756659468,0.7231945315401995,0.3372376367215879,956.2615063261494
0.8,10,3,2637,94.9244060475162,0.5425411095126008,0.739304171312316,201.45179281965014
0.6,5,5,2648,95.3203743700504,0.5258902915779905,0.6054117565876614,129.62910587390357
0.8,15,2,2691,96.8682505399568,0.7135637439024847,0.3450368974885619,227.23661861012977
0.6,10,2,2721,97.94816414686825,0.3438413915004033,0.73997058557894,28.646439457653724
0.8,20,1,2728,98.20014398848093,,,
0.6,15,1,2763,99.46004319654428,,,
0.6,20,0,2778,100.0,,,
